301, resoltion, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
301, bil, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
302, hopitals, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
302, frea, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
303, fotball, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
304, corses, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
305, restarant, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
305, godd, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
306, powrr, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
307, ramed, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
308, bea, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
309, raet, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
310, victry, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
310, cort, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
311, handel, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
312, powre, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
313, frinds, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
313, enemis, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
314, stiry, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
315, impossile, suggestion1, suggestion2, suggestion3, suggestion4, suggestion5
